Product_Category,Total_Sales,Profit,Quantity,Orders,Profit_Margin,Sales_Share_%,Profit_Share_%,Profit_per_Order
Furniture,256274.67,81171.57,1806,507,0.31673660920136976,52.88818133206076,51.09232999178208,160.10171597633138
Technology,139518.24,48268.65,2017,567,0.3459665918950813,28.792802567065923,30.382038859884464,85.12989417989418
Clothing & Accessories,69375.66,26112.94,1551,413,0.3763991578602639,14.317265479695648,16.436431468993465,63.22745762711864
Office Supplies,19390.86,3319.16,1741,513,0.17117136630350588,4.001750621177675,2.089199679339988,6.47009746588694
